request_type,issue,department_data_311,department_categories,requests,category_categories,category,department
911 perfomance,NA,911,,10,,Unknown,911
abandoned vehicle,NA,Police - AVU,,192,,Parking,Police - AVU
abandoned vehicle (parked on street),abandoned vehicle (parked on street),Police - AVU,Police - AVU,6317,Parking,Parking,Police - AVU
accessibility construction issue,accessibility construction issue,"Permits, Licenses and Inspections","Permits, Licenses and Inspections",39,Construction Issues,Construction Issues,"Permits, Licenses and Inspections"
alarm permit,alarm permit,Finance,Finance,11,Permits,Permits,Finance
americans with disabilities,americans with disabilities,City Planning - Disabilities,City Planning - Disabilities,67,Accessibility,Accessibility,City Planning - Disabilities
amusement tax,amusement tax,Finance,Finance,1,Taxes,Taxes,Finance
animal waste,animal waste,Animal Care & Control,Animal Care & Control,416,Animal Issues,Animal Issues,Animal Care & Control
application request,NA,311,,2,,Unknown,311
barking dog,barking dog,Animal Care & Control,Animal Care & Control,421,Animal Issues,Animal Issues,Animal Care & Control
barricades,barricades,DPW - Street Maintenance,DPW - Street Maintenance,435,Road/Street Issues,Road/Street Issues,DPW - Street Maintenance
basketball hoop,basketball hoop,DOMI - Permits,DPW - Permits,80,Road/Street Issues,Road/Street Issues,DPW - Permits
benefits,benefits,PCSC,Human Resources and Civil Service Commission,1,Personnel (City),Personnel (City),Human Resources and Civil Service Commission
bike lane bollard,bike lane bollard,DPW - Construction Division,DPW - Construction Division,142,Pedestrian/Bicycle Concerns,Pedestrian/Bicycle Concerns,DPW - Construction Division
bike rack request,NA,City Planning - Bicycles/Pedestrian traffic,,6,,Pedestrian/Bicycle Concerns,City Planning - Bicycles/Pedestrian traffic
bike trail maintenance,bike trail maintenance,,DPW - Street Maintenance,NA,Pedestrian/Bicycle Concerns,Pedestrian/Bicycle Concerns,DPW - Street Maintenance
billing,billing,Finance,Finance,3,Business Issues,Business Issues,Finance
board up (pli referral to dpw),NA,DPW - Construction Division,,460,,Neighborhood Issues,DPW - Construction Division
boat/trailer on street,boat/trailer on street,Police - Zones 1-6,Police - Zones 1-6,301,Parking,Parking,Police - Zones 1-6
bollard repair/maintenance,bollard repair/maintenance,DPW - Construction Division,DPW - Construction Division,74,Construction Issues,Construction Issues,DPW - Construction Division
brick/block or concrete slab repair,brick/block or concrete slab repair,DPW - Construction Division,DPW - Construction Division,368,Road/Street Issues,Road/Street Issues,DPW - Construction Division
bridge maintenance,bridge maintenance,DOMI - Structures,DPW - Street Maintenance,76,Road/Street Issues,Road/Street Issues,DPW - Street Maintenance
bridge maintenance,bridge maintenance,DOMIStructures,DPW - Street Maintenance,1,Road/Street Issues,Road/Street Issues,DPW - Street Maintenance
broken sidewalk,broken sidewalk,"Permits, Licenses and Inspections","Permits, Licenses and Inspections",1675,Building Maintenance,Building Maintenance,"Permits, Licenses and Inspections"
building (residential)/do not use,NA,311,,101,,Unknown,311
building benchmark ordinance,NA,City Planning,,1,,Business Issues,City Planning
building maintenance,building maintenance,"Permits, Licenses and Inspections","Permits, Licenses and Inspections",11194,Building Maintenance,Building Maintenance,"Permits, Licenses and Inspections"
building or property maintenance,NA,,,83,,Building Maintenance,Unknown
building violation (residential)/do not use,NA,"Permits, Licenses and Inspections",,40,,Building Maintenance,"Permits, Licenses and Inspections"
building without a permit,building without a permit,"Permits, Licenses and Inspections","Permits, Licenses and Inspections",3369,Construction Issues,Construction Issues,"Permits, Licenses and Inspections"
bulk,bulk,DPW - Refuse,DPW - Refuse,331,Garbage and Litter Issues,Garbage and Litter Issues,DPW - Refuse
bus shelter,bus shelter,Lamar Advertising,311,63,Construction Issues,Construction Issues,311
bus stop request,bus stop request,DOMI - Traffic,DPW - Transportation & Engineering,12,Road/Street Issues,Road/Street Issues,DPW - Transportation & Engineering
business accessibility,business accessibility,"Permits, Licenses and Inspections","Permits, Licenses and Inspections",13,Business Issues,Business Issues,"Permits, Licenses and Inspections"
cable bureau/programming,cable bureau/programming,Innovation & Performance,Innovation & Performance,16,"Communications (Cable, Website)","Communications (Cable, Website)",Innovation & Performance
catch basin clogged,catch basin clogged,,Pittsburgh Water & Sewer Authority,NA,Utility Issues,Utility Issues,Pittsburgh Water & Sewer Authority
"catch basin, clogged",NA,Pittsburgh Water and Sewer Authority,,2326,,Utility Issues,Pittsburgh Water and Sewer Authority
catch basins,NA,Pittsburgh Water and Sewer Authority,,1,,Utility Issues,Pittsburgh Water and Sewer Authority
check conditions,check conditions,Animal Care & Control,Animal Care & Control,302,Animal Issues,Animal Issues,Animal Care & Control
christmas tree,NA,DPW - Forestry Division,,43,,Garbage and Litter Issues,DPW - Forestry Division
cited root prunes,NA,DPW - Forestry Division,,32,,Tree Issues,DPW - Forestry Division
citiparks programs,citiparks programs,Parks & Recs-Programs,Parks & Recs-Programs,103,Ask Us/General FAQs,Ask Us/General FAQs,Parks & Recs-Programs
city clerk,city clerk,City Clerks Office,City Clerks Office,6,Ask Us/General FAQs,Ask Us/General FAQs,City Clerks Office
city council,city council,311,311,20,Ask Us/General FAQs,Ask Us/General FAQs,311
city facility,city facility,DPW - Facilities,DPW - Facilities,224,Accessibility,Accessibility,DPW - Facilities
city facility,city facility,DPW - Facilities,DPW - Facilities,224,City Facilities and Infrastructure,City Facilities and Infrastructure,DPW - Facilities
city park,city park,DPW - Park Maintenance,DPW - Street Maintenance,57,Weeds/Debris,Weeds/Debris,DPW - Street Maintenance
city source (cdbg),NA,"City Source Associates, Inc.",,3062,,Neighborhood Issues,"City Source Associates, Inc."
"city steps, need cleared","city steps, need cleared",DPW - Street Maintenance,DPW - Street Maintenance,841,City Facilities and Infrastructure,City Facilities and Infrastructure,DPW - Street Maintenance
"city steps, need repaired","city steps, need repaired",DOMI - Streets,DPW - Construction Division,655,City Facilities and Infrastructure,City Facilities and Infrastructure,DPW - Construction Division
city website,city website,Innovation & Performance,Innovation & Performance,38,"Communications (Cable, Website)","Communications (Cable, Website)",Innovation & Performance
claim form (law),NA,311,,133,,Unknown,311
collapsed catch basin,collapsed catch basin,Pittsburgh Water and Sewer Authority,Pittsburgh Water & Sewer Authority,1134,Utility Issues,Utility Issues,Pittsburgh Water & Sewer Authority
commercial refuse/dumpsters,commercial refuse/dumpsters,DPW - Refuse,DPW - Refuse,603,Garbage and Litter Issues,Garbage and Litter Issues,DPW - Refuse
concern,NA,311,,1,,Unknown,311
construction site maintenance,construction site maintenance,"Permits, Licenses and Inspections","Permits, Licenses and Inspections",421,Construction Issues,Construction Issues,"Permits, Licenses and Inspections"
couch on porch,couch on porch,"Permits, Licenses and Inspections","Permits, Licenses and Inspections",259,Neighborhood Issues,Neighborhood Issues,"Permits, Licenses and Inspections"
county maintenance,NA,,,101,,Unknown,Unknown
"court, basketball or tennis","court, basketball or tennis",DPW - Park Maintenance,DPW - Park Maintenance,181,City Facilities and Infrastructure,City Facilities and Infrastructure,DPW - Park Maintenance
"court, basketball or tennis","court, basketball or tennis",DPW - Park Maintenance,DPW - Park Maintenance,181,Parks Issues,Parks Issues,DPW - Park Maintenance
crossing guards,crossing guards,School Guards,School Guards,178,Public Safety,Public Safety,School Guards
curb /angle iron/metal exposed,curb /angle iron/metal exposed,DPW - Street Maintenance,DPW - Street Maintenance,373,Road/Street Issues,Road/Street Issues,DPW - Street Maintenance
curb /broken/deteriorated,curb /broken/deteriorated,DOMI - Permits,DPW - Permits,565,Road/Street Issues,Road/Street Issues,DPW - Permits
curb cuts,curb cuts,DOMI - Permits,DPW - Permits,69,Road/Street Issues,Road/Street Issues,DPW - Permits
curb paint,curb paint,DOMI - Traffic,DPW - Traffic,292,Road/Street Issues,Road/Street Issues,DPW - Traffic
curb paint application,NA,311,,36,,Road/Street Issues,311
curb/request for asphalt windrow,curb/request for asphalt windrow,DPW - Street Maintenance,DPW - Street Maintenance,1093,Road/Street Issues,Road/Street Issues,DPW - Street Maintenance
