h_bg,workers_from_bg
420030103001,274
420030103002,445
420030103003,43
420030103004,37
420030201001,744
420030201002,529
420030201003,19
420030201004,445
420030201005,4
420030201006,240
420030203001,471
420030305001,545
420030305002,343
420030402001,237
420030402002,384
420030404001,134
420030404002,390
420030405001,298
420030405002,246
420030406001,447
420030409001,388
420030409002,371
420030409003,251
420030501001,243
420030501002,166
420030501003,313
420030506001,431
420030506002,208
420030506003,290
420030509001,522
420030510001,253
420030510002,310
420030511001,109
420030603001,589
420030603002,700
420030605001,375
420030605002,342
420030703001,303
420030703002,352
420030703003,289
420030705001,666
420030705002,375
420030705003,510
420030706001,417
420030706002,569
420030708001,343
420030708002,408
420030709001,651
420030709002,285
420030709003,327
420030709004,441
420030802001,653
420030802002,347
420030804001,339
420030804002,349
420030806001,696
420030806002,369
420030807001,416
420030807002,495
420030809001,609
420030809002,478
420030901001,722
420030901002,287
420030902001,459
420030902002,561
420030902003,373
420030903001,562
420030903002,287
420031005001,413
420031005002,626
420031011001,684
420031011002,339
420031011003,335
420031014001,643
420031014002,322
420031014003,363
420031014004,396
420031016001,467
420031017001,341
420031017002,404
420031018001,552
420031018002,827
420031102001,420
420031102002,368
420031102003,577
420031102004,642
420031106001,452
420031106002,344
420031106003,357
420031113001,355
420031113002,277
420031113003,218
420031113004,308
420031114001,241
420031114002,337
420031115001,297
420031115002,678
420031115003,68
420031115004,279
420031203001,367
420031203002,274
420031204001,202
420031204002,132
420031207001,143
420031207002,125
420031208001,107
420031208002,189
420031301001,257
420031301002,188
420031301003,180
420031302001,227
420031302002,261
420031303001,152
420031303002,98
420031303003,188
420031304001,152
420031304002,183
420031304003,88
420031306001,190
420031306002,224
420031306003,637
420031401001,285
420031401002,457
420031401003,101
420031401004,396
420031402001,355
420031402002,608
420031403001,349
420031403002,441
420031403003,401
420031403004,326
420031404001,333
420031404002,311
420031404003,470
420031405001,392
420031405002,254
420031405003,400
420031406001,629
420031406002,417
420031406003,547
420031408001,815
420031408002,739
420031408003,364
420031410001,548
420031411001,731
420031413001,546
420031413002,601
420031413003,701
420031414001,417
420031414002,268
420031414003,399
420031414004,723
420031414005,418
420031516001,671
420031516002,400
420031516003,285
420031517001,487
420031517002,342
420031517003,374
420031517004,325
420031517005,434
420031517006,558
420031608001,251
420031608002,345
420031608003,390
420031608004,410
420031609001,431
420031609002,906
420031702001,309
420031702002,412
420031702003,631
420031702004,530
420031706001,264
420031706002,421
420031706003,397
420031803001,455
420031803002,307
420031803003,336
420031807001,383
420031807002,371
420031807003,326
420031903001,748
420031903002,410
420031911001,570
420031911002,853
420031914001,712
420031914002,713
420031915001,390
420031915002,781
420031916001,396
420031916002,383
420031916003,358
420031916004,425
420031916005,564
420031917001,1158
420031917002,301
420031917003,429
420031918001,337
420031918002,370
420031918003,339
420031918004,390
420031918005,367
420031918006,485
420031918007,433
420031919001,430
420031919002,480
420031919003,304
420031920001,375
420031920002,351
420031920003,324
420031920004,431
420031920005,329
420032022001,713
420032022002,270
420032022003,298
420032023001,383
420032023002,521
420032023003,512
420032023004,718
420032107001,618
420032107002,377
420032206001,712
420032206002,219
420032406001,690
420032406002,610
420032412001,171
420032412002,259
420032503001,665
420032507001,322
420032509001,335
420032509002,304
420032602001,324
420032602002,506
420032602003,304
420032607001,426
420032607002,547
420032609001,442
420032612001,662
420032614001,222
420032614002,201
420032614003,240
420032614004,286
420032615001,364
420032615002,391
420032620001,540
420032620002,282
420032620003,280
420032701001,795
420032701002,606
420032703001,482
420032703002,360
420032704001,555
420032708001,408
420032708002,508
420032708003,442
420032715001,354
420032715002,512
420032715003,476
420032814001,372
420032814002,692
420032815001,290
420032815002,534
420032901001,314
420032901002,341
420032901003,322
420032902001,466
420032902002,418
420032902003,329
420032902004,357
420032902005,458
420032904001,286
420032904002,618
420032904003,353
420032904004,428
420032904005,291
420033001001,170
420033001002,195
420033001003,329
420033001004,306
420033001005,283
420033001006,298
420033102001,355
420033102002,333
420033102003,267
420033102004,400
420033102005,369
420033103001,547
420033204001,416
420033204002,333
420033204003,308
420033206001,611
420033206002,604
420033207001,657
420033207002,287
420035616001,107
420035616002,382
420035616003,260
420035616004,283
420035617001,97
420035617002,260
420035619001,320
420035619002,461
420035620001,341
420035620002,271
420035620003,156
420035623001,227
420035623002,240
420035623003,257
420035623004,202
420035623005,193
420035623006,170
420035624001,506
420035624002,175
420035624003,130
420035624004,261
420035624005,164
420035625001,147
420035625002,239
420035625003,376
420035625004,505
420035626001,87
420035626002,472
420035626003,330
420035626004,269
420035627001,299
420035627002,501
420035628001,290
420035628002,511
420035629001,321
420035629002,178
420035629003,435
420035630001,483
420035630002,394
420035630003,312
420035630004,250
420035631001,507
420035631002,1102
420035631003,270
420035632001,173
420035632002,425
420035632003,497
420039800001,203
420039801001,48
420039803001,40
420039804001,45
420039805001,47
420039806001,50
420039807001,60
420039808001,39
420039809001,139
420039810001,37
420039811001,45
420039812001,41
420039818001,110
420039822001,398
