w_bg,workers_in_bg
420030103001,204
420030103002,3072
420030103003,3293
420030103004,343
420030201001,15799
420030201002,12467
420030201003,15180
420030201004,2340
420030201005,28874
420030201006,4656
420030203001,9615
420030305001,392
420030305002,174
420030402001,40
420030402002,17574
420030404001,651
420030404002,621
420030405001,1581
420030405002,970
420030406001,63
420030409001,8841
420030409002,273
420030409003,32
420030501001,49
420030501002,61
420030501003,153
420030506001,145
420030506002,5
420030506003,117
420030509001,72
420030510001,17
420030510002,61
420030511001,1
420030603001,513
420030603002,1699
420030605001,455
420030605002,44
420030703001,654
420030703002,906
420030703003,270
420030705001,27
420030705002,42
420030705003,1523
420030706001,160
420030706002,53
420030708001,639
420030708002,252
420030709001,5513
420030709002,72
420030709003,61
420030709004,266
420030802001,314
420030802002,99
420030804001,371
420030804002,1089
420030806001,52
420030806002,277
420030807001,132
420030807002,186
420030809001,2409
420030809002,335
420030901001,963
420030901002,232
420030902001,249
420030902002,3009
420030902003,170
420030903001,342
420030903002,124
420031005001,172
420031005002,4
420031011001,8
420031011002,1220
420031011003,137
420031014001,242
420031014002,11
420031014003,24
420031014004,6
420031016001,23
420031017001,103
420031017002,67
420031018001,55
420031018002,63
420031102001,22
420031102002,206
420031102003,33
420031102004,35
420031106001,6
420031106002,1
420031106003,3
420031113001,5
420031113002,263
420031113003,1
420031113004,110
420031114001,67
420031114002,130
420031115001,313
420031115002,2161
420031115003,2029
420031115004,780
420031203001,62
420031203002,5
420031204001,152
420031204002,95
420031207001,205
420031207002,78
420031208001,28
420031208002,3107
420031301001,6
420031301002,3
420031301003,3
420031302001,46
420031302002,32
420031303001,99
420031303002,102
420031303003,249
420031304001,66
420031304002,95
420031304003,3
420031306001,14
420031306002,163
420031306003,102
420031401001,27
420031401002,120
420031401003,5192
420031401004,218
420031402001,163
420031402002,66
420031403001,63
420031403002,97
420031403003,732
420031403004,792
420031404001,16
420031404002,133
420031404003,110
420031405001,805
420031405002,77
420031405003,3
420031406001,179
420031406002,230
420031406003,161
420031408001,323
420031408002,865
420031408003,61
420031410001,170
420031411001,23
420031413001,1184
420031413002,57
420031413003,638
420031414001,66
420031414002,13
420031414003,25
420031414004,928
420031414005,176
420031516001,103
420031516002,113
420031516003,5
420031517001,632
420031517002,103
420031517003,5
420031517004,1
420031517005,31
420031517006,10
420031608001,57
420031608002,19
420031608003,5
420031608004,24
420031609001,3558
420031609002,2386
420031702001,2965
420031702002,1131
420031702003,502
420031702004,737
420031706001,33
420031706002,12
420031706003,7
420031803001,100
420031803002,113
420031803003,2
420031807001,56
420031903001,262
420031903002,115
420031911001,234
420031911002,330
420031914001,202
420031914002,25
420031915001,131
420031915002,60
420031916001,332
420031916002,62
420031916003,12
420031916004,82
420031916005,233
420031917001,620
420031917002,10
420031917003,231
420031918001,95
420031918002,30
420031918003,24
420031918004,143
420031918005,359
420031918006,245
420031918007,41
420031919002,52
420031919003,203
420031920001,30
420031920002,437
420031920003,314
420031920004,194
420031920005,20
420032022001,14
420032022002,41
420032022003,19
420032023001,146
420032023002,468
420032023003,800
420032023004,315
420032107001,764
420032107002,227
420032206001,535
420032206002,6370
420032406001,1483
420032406002,328
420032412001,164
420032412002,61
420032503001,125
420032507001,238
420032509001,79
420032509002,52
420032602001,38
420032602002,171
420032602003,366
420032607001,7
420032607002,18
420032609001,23
420032612001,276
420032614001,110
420032614002,155
420032614003,50
420032614004,146
420032615001,33
420032615002,349
420032620001,65
420032620002,90
420032620003,3
420032701001,66
420032701002,75
420032703001,97
420032703002,69
420032704001,98
420032708001,211
420032708002,40
420032708003,14
420032715001,54
420032715002,1094
420032715003,23
420032814001,8
420032814002,91
420032815001,39
420032815002,5
420032901001,134
420032901002,162
420032901003,116
420032902001,465
420032902002,40
420032902003,50
420032902004,159
420032902005,162
420032904001,87
420032904002,177
420032904003,5
420032904004,8
420032904005,75
420033001001,27
420033001002,46
420033001003,55
420033001004,17
420033001005,74
420033001006,63
420033102001,5
420033102002,21
420033102003,26
420033102004,46
420033102005,1
420033103001,11
420033204001,190
420033204002,33
420033204003,56
420033206001,42
420033206002,15
420033207001,47
420033207002,309
420035616003,5
420035616004,58
420035617001,18
420035617002,2
420035619001,47
420035619002,53
420035620001,333
420035620002,579
420035620003,281
420035623001,76
420035623002,360
420035623003,9
420035623004,26
420035623005,3
420035623006,73
420035624001,119
420035624002,91
420035624003,1
420035624004,85
420035624005,25
420035625001,86
420035625002,86
420035625003,231
420035625004,125
420035626001,912
420035626002,1
420035626003,839
420035626004,113
420035627001,1578
420035627002,3654
420035628001,827
420035628002,262
420035629001,51
420035629002,430
420035629003,92
420035630001,1739
420035630002,22
420035630003,13
420035630004,44
420035631001,222
420035631002,512
420035631003,11
420035632001,3004
420035632002,1034
420035632003,564
420039800001,1610
420039801001,754
420039805001,189
420039806001,6948
420039807001,3224
420039808001,819
420039809001,1802
420039810001,51
420039811001,30
420039812001,5489
420039818001,195
420039822001,22014
